anime_id,name,num_rating,avg_rating
4948,Kimi no Na wa.,2199,9.37
2598,Fullmetal Alchemist: Brotherhood,24574,9.26
3057,Gintama°,1386,9.25
9355,Steins;Gate,19283,9.17
3048,Gintama&#039;,3673,9.16
3311,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,1233,9.15
3936,Hunter x Hunter (2011),8575,9.13
3049,Gintama&#039;: Enchousen,2537,9.11
2994,Ginga Eiyuu Densetsu,903,9.11
3045,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,2525,9.1
1519,Clannad: After Story,17854,9.06
3044,Gintama,4974,9.04
1552,Code Geass: Hangyaku no Lelouch R2,24242,8.98
8624,Sen to Chihiro no Kamikakushi,22974,8.93
3310,Haikyuu!! Second Season,3975,8.93
8751,Shigatsu wa Kimi no Uso,9448,8.92
6664,Mushishi Zoku Shou 2nd Season,1712,8.88
7339,Ookami Kodomo no Ame to Yuki,7709,8.84
3330,Hajime no Ippo,4935,8.83
8255,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,5729,8.83
1548,Code Geass: Hangyaku no Lelouch,27718,8.83
7276,One Punch Man,13374,8.82
1625,Cowboy Bebop,15509,8.82
9503,Suzumiya Haruhi no Shoushitsu,9576,8.81
6547,Mononoke Hime,16303,8.81
6663,Mushishi Zoku Shou,2486,8.8
6544,Monogatari Series: Second Season,6058,8.8
6661,Mushishi,7004,8.78
9750,Tengen Toppa Gurren Lagann,19337,8.78
3181,Great Teacher Onizuka,9820,8.77
3334,Hajime no Ippo: New Challenger,3677,8.75
6825,Natsume Yuujinchou Shi,3255,8.75
6666,Mushishi Zoku Shou: Suzu no Shizuku,707,8.75
3923,Howl no Ugoku Shiro,17258,8.74
2456,Fate/Zero 2nd Season,12047,8.73
6550,Monster,4594,8.72
1835,Death Note,39340,8.71
757,Bakuman. 3rd Season,4974,8.71
460,Ansatsu Kyoushitsu (TV) 2nd Season,2923,8.68
4694,Kara no Kyoukai 5: Mujun Rasen,5002,8.68
3335,Hajime no Ippo: Rising,2193,8.68
3305,Haikyuu!!,7369,8.68
7689,Ping Pong The Animation,2321,8.67
6824,Natsume Yuujinchou San,3759,8.67
6662,Mushishi Special: Hihamukage,1823,8.66
1026,Boku dake ga Inai Machi,9180,8.65
10877,Yojouhan Shinwa Taikei,2091,8.65
11146,Zoku Natsume Yuujinchou,4617,8.64
4614,Kamisama Hajimemashita: Kako-hen,363,8.64
9752,Tengen Toppa Gurren Lagann Movie: Lagann-hen,3033,8.64
563,Aria The Origination,1051,8.64
8076,Re:Zero kara Hajimeru Isekai Seikatsu,6123,8.64
8034,Rainbow: Nisha Rokubou no Shichinin,3059,8.64
445,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,16993,8.62
5348,Kuroko no Basket 3rd Season,4902,8.62
3902,Hotarubi no Mori e,6954,8.61
9357,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,6509,8.61
8967,Shokugeki no Souma,7990,8.61
4363,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,2742,8.6
3604,Hellsing Ultimate,7501,8.59
9017,Shouwa Genroku Rakugo Shinjuu,1030,8.59
3046,Gintama Movie: Shinyaku Benizakura-hen,2160,8.59
5030,Kiseijuu: Sei no Kakuritsu,11564,8.59
10341,Uchuu Kyoudai,954,8.59
737,Bakemono no Ko,1869,8.58
5946,Major S5,1274,8.58
3900,Hotaru no Haka,7755,8.58
5346,Kuroko no Basket 2nd Season,8235,8.58
4976,Kingdom 2nd Season,906,8.57
4696,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),4199,8.57
2970,Ghost in the Shell: Stand Alone Complex 2nd GIG,4211,8.57
9081,Slam Dunk,2711,8.56
10461,Usagi Drop,6958,8.56
6738,Nana,6363,8.55
6404,Mob Psycho 100,3534,8.55
3070,Girls und Panzer der Film,501,8.55
8865,Shingeki no Kyojin,29583,8.54
6665,Mushishi Zoku Shou: Odoro no Michi,1204,8.54
704,Baccano!,11070,8.54
2161,Doukyuusei (Movie),485,8.53
2410,Evangelion: 2.0 You Can (Not) Advance,8001,8.53
8914,Shinsekai yori,6270,8.53
1670,Cross Game,1555,8.53
10350,Uchuu Senkan Yamato 2199,820,8.53
755,Bakuman. 2nd Season,6164,8.53
1335,Chihayafuru 2,3065,8.52
6928,Nichijou,5825,8.52
5829,Mahou Shoujo Madoka★Magica,16851,8.51
4359,JoJo no Kimyou na Bouken (TV),5002,8.51
2455,Fate/Zero,14224,8.51
806,Barakamon,6678,8.5
1958,Diamond no Ace: Second Season,868,8.5
5774,Magi: The Kingdom of Magic,7279,8.5
5832,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,4475,8.5
5949,Major: World Series,574,8.5
7942,Psycho-Pass,14008,8.5
8424,Samurai Champloo,14068,8.5
8968,Shokugeki no Souma: Ni no Sara,3578,8.5
4744,Katanagatari,5317,8.49
5947,Major S6,1058,8.49
